iter	Passed	Remaining
0	22	22364
1	44	22187
2	63	21219
3	83	20733
4	106	21202
5	128	21210
6	151	21469
7	177	21959
8	197	21772
9	220	21790
10	240	21630
11	260	21486
12	281	21387
13	301	21262
14	324	21339
15	345	21234
16	364	21091
17	387	21153
18	409	21145
19	434	21311
20	456	21296
21	476	21198
22	497	21115
23	517	21035
24	535	20900
25	556	20859
26	576	20769
27	595	20687
28	616	20625
29	636	20572
30	656	20519
31	676	20451
32	696	20397
33	716	20367
34	737	20333
35	759	20335
36	779	20299
37	799	20228
38	818	20165
39	838	20112
40	857	20045
41	875	19971
42	893	19890
43	911	19800
44	930	19745
45	952	19747
46	974	19750
47	995	19735
48	1015	19712
49	1034	19650
50	1053	19599
51	1071	19531
52	1090	19486
53	1109	19439
54	1130	19415
55	1148	19354
56	1165	19287
57	1185	19253
58	1206	19237
59	1227	19238
60	1247	19200
61	1266	19160
62	1284	19111
63	1304	19082
64	1324	19052
65	1343	19013
66	1364	18994
67	1383	18964
68	1402	18929
69	1422	18893
70	1443	18893
71	1464	18882
72	1482	18830
73	1502	18801
74	1522	18776
75	1541	18744
76	1562	18726
77	1582	18706
78	1601	18676
79	1619	18620
80	1638	18593
81	1658	18565
82	1678	18539
83	1697	18505
84	1716	18480
85	1736	18450
86	1754	18410
87	1773	18380
88	1791	18336
89	1811	18318
90	1831	18296
91	1852	18279
92	1873	18275
93	1896	18274
94	1916	18261
95	1942	18294
96	1967	18313
97	1991	18327
98	2014	18337
99	2035	18319
100	2056	18304
101	2080	18315
102	2101	18301
103	2122	18286
104	2145	18289
105	2169	18296
106	2193	18310
107	2217	18315
108	2243	18337
109	2272	18390
110	2306	18476
111	2332	18494
112	2356	18494
113	2382	18516
114	2408	18538
115	2431	18526
116	2455	18535
117	2481	18548
118	2504	18544
119	2528	18540
120	2552	18540
121	2574	18524
122	2596	18514
123	2618	18499
124	2641	18489
125	2663	18475
126	2685	18461
127	2709	18455
128	2731	18440
129	2753	18430
130	2776	18415
131	2798	18399
132	2821	18394
133	2844	18381
134	2866	18367
135	2889	18357
136	2912	18347
137	2942	18382
138	2968	18386
139	2995	18399
140	3017	18381
141	3039	18365
142	3062	18351
143	3083	18330
144	3106	18319
145	3129	18304
146	3152	18293
147	3173	18267
148	3195	18249
149	3217	18233
150	3241	18226
151	3269	18237
152	3299	18263
153	3325	18267
154	3349	18262
155	3379	18283
156	3405	18285
157	3427	18267
158	3452	18262
159	3485	18299
160	3506	18273
161	3531	18268
162	3556	18264
163	3580	18250
164	3605	18248
165	3630	18240
166	3651	18213
167	3673	18193
168	3695	18169
169	3717	18149
170	3738	18126
171	3760	18100
172	3779	18066
173	3800	18042
174	3821	18014
175	3840	17982
176	3862	17957
177	3885	17942
178	3909	17930
179	3935	17928
180	3957	17908
181	3982	17899
182	4004	17876
183	4025	17851
184	4047	17830
185	4068	17803
186	4087	17771
187	4107	17741
188	4127	17712
189	4148	17687
190	4169	17660
191	4191	17637
192	4212	17614
193	4234	17594
194	4258	17577
195	4279	17555
196	4300	17531
197	4321	17505
198	4341	17474
199	4362	17451
200	4384	17427
201	4404	17401
202	4425	17373
203	4447	17352
204	4468	17330
205	4493	17321
206	4513	17291
207	4533	17262
208	4552	17230
209	4570	17194
210	4590	17163
211	4608	17129
212	4626	17093
213	4644	17057
